row ID	row m/z	row retention time	OOI-3cm-B Peak area	OOI-7cm-B Peak area	OOI-8cm-B Peak area	OOI-0cm-B Peak area	OOI-4cm-B Peak area	OOI-2cm-B Peak area	OOI-5cm-B Peak area	115-9 Peak area	123-8cm-B Peak area	123-9cm-B Peak area	123-5cm-B Peak area	123-4 Peak area	123-7 Peak area	123-3 Peak area	123-6 Peak area	064-7 Peak area	085-8cm-A Peak area	085-9cm-B Peak area	115-4cm-B Peak area	115-8 Peak area	123-2cm-B Peak area	123-0 Peak area	115-5 Peak area	115-3 Peak area	115-7 Peak area	085-5cm-B Peak area	115-1 Peak area	064-9 Peak area	064-5cm-B Peak area	115-2cm-B Peak area	OOI-6 Peak area	085-7cm-B Peak area	085-6 Peak area	123-1 Peak area	115-6 Peak area	085-0 Peak area	085-4 Peak area	064-2cm-B Peak area	115-0 Peak area	085-2 Peak area	064-6 Peak area	085-1 Peak area	064-4 Peak area	085-3 Peak area	064-8 Peak area	064-3 Peak area	064-1 Peak area	064-0 Peak area	
425	581.398641504722	14.288645	53.099464	0	52.0868	0	0	0	0	478.90628	155.94167	43.448284	287.72723	475.63623	404.85922	1569.9861	0	0	0	0	790.676	393.07306	487.44788	778.4559	155.82991	296.11542	287.44745	0	59.32595	0	0	548.2721	0	0	38.347313	0	180.42651	283.0698	0	140.81558	432.58298	214.55476	0	405.40524	0	63.178307	0	436.9458	89.884445	801.03564	
994	876.7202668552660	16.641356	60.25788	62.156895	174.55115	0	100.64298	24.469471	0	202.27145	567.6796	333.76337	369.66394	231.60336	433.8078	199.71005	143.03929	0	82.82489	0	402.36224	239.41313	173.1141	194.00116	274.05777	342.14603	584.35986	200.69872	197.18782	0	118.3743	162.48761	0	185.87671	247.21976	243.79735	647.6408	208.93796	445.32895	253.86961	133.80247	369.70413	69.8178	389.97842	0	220.58249	0	216.62111	207.8515	400.57663	
338	557.3227421780300	13.75275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1046.8074	
337	766.5308039889460	13.774274	0	0	0	0	0	104.67142	0	0	38.84702	0	0	0	0	0	0	0	0	0	0	67.60498	0	0	41.33602	0	0	0	326.23273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1957	913.7094991640400	19.75925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	845.56213	0	0	0	0	0	0	0	0	776.9167	0	0	210.59329	0	404.47174	0	0	548.7194	765.7427	232.56482	
2292	769.6125349920960	20.812723	124.03224	120.81758	179.22292	106.33931	150.0476	96.15642	207.18674	0	165.71954	465.23456	220.92929	166.1412	0	503.2253	537.6064	0	0	0	292.2828	482.8428	380.9756	0	318.46338	358.89087	228.29198	0	126.68152	0	0	243.69519	82.96574	79.9978	130.59262	284.97916	147.2113	224.96304	54.679222	0	391.472	147.09503	0	123.57209	0	142.12561	0	0	62.956917	100.912674	
241	655.3970181459480	12.986232	0	0	0	0	0	0	0	0	0	0	42.109573	0	0	0	0	0	0	0	61.501484	42.598774	59.222054	0	0	0	0	0	48.1083	0	0	83.62172	0	0	0	80.57242	0	0	0	0	86.354996	0	0	0	0	0	0	45.0693	0	236.89786	
2283	517.2584300949190	20.77973	0	0	84.24194	0	0	0	110.102325	148.45216	0	0	0	423.76886	403.54822	726.21094	0	0	0	0	308.8196	99.47931	0	351.68265	196.72934	351.96967	156.34772	0	43.308777	0	0	278.37497	117.28993	0	135.48268	819.59595	235.86987	0	293.50116	1171.3364	0	171.851	0	47.07359	100.04283	0	0	528.01337	0	361.25388	
1582	526.5190596598660	18.415798	43.223854	0	43.564926	0	0	0	48.27262	91.231476	0	46.407345	0	0	0	46.62022	43.83805	304.68918	252.5036	182.79521	57.92373	127.385544	0	0	0	0	0	439.41833	0	1384.6848	160.24332	43.363224	0	169.62321	149.47876	0	0	59.404625	183.56512	163.88075	0	41.834774	483.8648	0	175.33086	72.68544	880.7821	184.27603	268.02487	0	
997	692.4990699370970	16.695284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144.23277	0	0	0	0	0	0	0	0	
