PrimerID	derep result	derep result	FeatureID	id	molecularFormula	adduct	NPCpathway	NPCpathway Probability	NPCsuperclass	NPCsuperclass Probability	NPCclass	NPCclass Probability	ClassyFiremost specific class	ClassyFiremost specific class Probability	ClassyFirelevel 5	ClassyFirelevel 5 Probability	ClassyFiresubclass	ClassyFiresubclass Probability	ClassyFireclass	ClassyFireclass Probability	ClassyFiresuperclass	ClassyFiresuperclass probability	ClassyFireall classifications	row ID	row m/z	row retention time	064-0 Peak area	064-1 Peak area	064-2cm-B Peak area	064-3 Peak area	064-4 Peak area	064-5cm-B Peak area	064-6 Peak area	064-7 Peak area	064-8 Peak area	064-9 Peak area	064_Sum	085-0 Peak area	085-1 Peak area	085-2 Peak area	085-3 Peak area	085-4 Peak area	085-5cm-B Peak area	085-6 Peak area	085-7cm-B Peak area	085-8cm-A Peak area	085-9cm-B Peak area	085_Sum	115-0 Peak area	115-1 Peak area	115-2cm-B Peak area	115-3 Peak area	115-4cm-B Peak area	115-5 Peak area	115-6 Peak area	115-7 Peak area	115-8 Peak area	115-9 Peak area	115_Sum	123-0 Peak area	123-1 Peak area	123-2cm-B Peak area	123-3 Peak area	123-4 Peak area	123-5cm-B Peak area	123-6 Peak area	123-7 Peak area	123-8cm-B Peak area	123-9cm-B Peak area	123_Sum	OOI-0cm-B Peak area	OOI-2cm-B Peak area	OOI-3cm-B Peak area	OOI-4cm-B Peak area	OOI-5cm-B Peak area	OOI-6 Peak area	OOI-7cm-B Peak area	OOI-8cm-B Peak area	OOI_Sum
1273_Fatty acids_N-acyl amines	Unassigned	N/A	1273	430_220629_5mMatOOI_siriusfeaturelist_1273	C40H79NO	[M + Na]+	Lipids and lipid-like	0.974702775	Fatty amides	0.761872172	N-acyl amines	0.196650669	N-acyl amines	0.977040052	N-acyl amines	0.977040052	Fatty amides	0.985982358	Fatty Acyls	0.972770095	Lipids and lipid-like molecules	0.987092853	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	1273	612.6066724	17.2812	312.0655	182.07701	215.62996	0	0	123.39306	0	0	0	0	833.16553	1273.8428	819.1775	328.11307	1399.4756	447.13675	549.04034	392.3191	609.5668	41.042435	0	5859.714395	379.3212	0	0	392.5466	723.12286	377.76056	710.24884	653.68604	531.97644	501.5742	4270.23674	180.04012	246.64989	561.272	467.91077	426.98138	984.75	670.9506	395.97134	986.94006	622.71484	5544.181	569.6365	588.3191	718.4268	696.05664	816.64856	972.3526	1167.4325	1447.0302	6975.9029
"2221_Fatty acids_Hydroxy bile acids, alcohols and derivatives"	Unassigned	N/A	2221	431_220629_5mMatOOI_siriusfeaturelist_2221	C33H63NO6	[M + Na]+	Lipids and lipid-like	0.914922237	Sphingolipids	0.846413255	Cholane steroids	0.144106299	"Hydroxy bile acids, alcohols and derivatives"	0.89568305	"Hydroxy bile acids, alcohols and derivatives"	0.89568305	"Bile acids, alcohols and derivatives"	0.655337334	Steroids and steroid derivatives	0.01169237	Lipids and lipid-like molecules	0.985885382	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty acid esters; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Carboxylic acids; Bile acids, alcohols and derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Hydroxy bile acids, alcohols and derivatives; 3-hydroxysteroids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	2221	592.4506216	20.580652	0	63.344997	41.50068	157.71689	0	0	0	0	0	0	262.562567	0	68.42263	112.348206	93.845215	0	0	0	41.459488	0	0	316.075539	80.5533	0	102.46216	139.7973	232.53629	137.69365	205.34903	133.30838	204.17386	174.6359	1410.50987	0	84.86331	245.24136	93.880325	36.663025	200.50955	237.30238	0	265.55978	244.53308	1408.55281	0	0	0	0	0	0	0	0	0
981_Fatty acids_Amino acids and derivatives	Unassigned	N/A	981	432_220629_5mMatOOI_siriusfeaturelist_981	C41H80NO7P	[M + H]+	Lipids and lipid-like	0.999985933	Glycerophospholipids	0.995850921	Glycerophosphoethanolamines	0.962724984	Amino acids and derivatives	0.98082	Amino acids and derivatives	0.98082	"Amino acids, peptides, and analogues"	0.979790092	Carboxylic acids and derivatives	0.999964356	Organic acids and derivatives	0.999992967	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Glycerolipids; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Amino acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Phosphoethanolamines; Carbonyl compounds; Amines; Glycerol vinyl ethers; Alkyl phosphates; Dialkyl phosphates; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	981	730.5696455	16.662844	0	0	0	0	0	0	0	0	0	0	0	778.5194	24.042439	0	0	0	0	205.58266	0	0	0	1008.144499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1338_Fatty acids_Fatty acid esters	Unassigned	N/A	1338	435_220629_5mMatOOI_siriusfeaturelist_1338	C43H80O6	[M + Na]+	Lipids and lipid-like	0.556171477	Glycerolipids	0.368995368	Polyprenol derivatives	0.527818859	Fatty acid esters	0.912659228	Unassigned	Unassigned	Fatty acid esters	0.912659228	Fatty Acyls	0.974025667	Lipids and lipid-like molecules	0.992298901	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	1338	715.5817108	17.533915	150.3305	651.0739	191.45467	427.82278	103.017654	0	0	0	63.916004	0	1587.615508	0	111.31743	57.59117	0	0	67.86061	134.75641	144.65985	47.281277	0	563.466747	161.99255	158.16803	260.33508	175.69766	268.02655	229.07109	241.72874	181.50444	449.755	158.57819	2284.85733	396.65424	213.23438	268.80908	376.38376	127.1854	166.90121	502.87845	264.0465	240.94595	170.06662	2727.10559	0	107.99947	0	98.73852	78.20715	51.38238	122.14572	299.9803	758.45354
1847_Fatty acids_Triradylcglycerols	Unassigned	N/A	1847	438_220629_5mMatOOI_siriusfeaturelist_1847	C43H84O5	[M + Na]+	Lipids and lipid-like	0.999686956	Glycerolipids	0.99426949	Diacylglycerols	0.656496942	Triradylcglycerols	0.87037462	Unassigned	Unassigned	Triradylcglycerols	0.87037462	Glycerolipids	0.999117315	Lipids and lipid-like molecules	0.999433339	"Organic compounds; Lipids and lipid-like molecules; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Diacylglycerols; Carboxylic acid esters; 1,2-diacylglycerols; Carbonyl compounds; Diradylglycerols; Triradylcglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	1847	703.6163493	19.449179	0	494.8569	629.4837	307.43484	593.0489	584.53625	371.29987	193.55124	1619.6067	552.11127	5345.92967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73.262924	0	0	0	0	58.43732	131.700244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1859_Fatty acids_N-acyl amines	Unassigned	N/A	1859	439_220629_5mMatOOI_siriusfeaturelist_1859	C36H69NO2	[M + Na]+	Lipids and lipid-like	0.963270545	Fatty amides	0.772997141	N-acyl amines	0.278183788	N-acyl amines	0.996357262	N-acyl amines	0.996357262	Fatty amides	0.996271014	Fatty Acyls	0.994479299	Lipids and lipid-like molecules	0.998144865	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	1859	570.5219239	19.474058	205.2315	98.71508	205.06993	224.82799	78.50157	97.532166	0	0	0	0	909.878236	66.80702	125.44429	156.32503	50.22991	107.77762	310.9087	125.26423	207.02396	48.277756	0	1198.058516	0	114.383286	263.77274	123.68727	126.61396	136.96979	0	104.575905	255.33662	217.46027	1342.799841	126.5928	107.91223	80.065056	261.175	112.71178	152.20883	333.62683	196.63727	137.33733	110.4447	1618.711826	161.75693	187.37305	233.51897	205.58148	195.57452	239.06308	202.38098	278.96478	1704.21379
1512_Fatty acids_Glycosphingolipids	Unassigned	N/A	1512	444_220629_5mMatOOI_siriusfeaturelist_1512	C44H83NO8	[M + Na]+	Lipids and lipid-like	0.998962522	Sphingolipids	0.98263216	Neutral glycosphingolipids	0.992404997	Glycosphingolipids	0.849204183	Unassigned	Unassigned	Glycosphingolipids	0.849204183	Sphingolipids	0.859478831	Lipids and lipid-like molecules	0.999446571	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Secondary carboxylic acid amides; Fatty acyl glycosides; Carbonyl compounds; Oxanes; Glycosyl compounds; Alkyl glycosides; O-glycosyl compounds; Polyols; Glycosphingolipids; Fatty acyl glycosides of mono- and disaccharides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	1512	776.6002197	18.220903	1352.971	0	0	0	0	0	0	0	0	0	1352.971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308.54767	0	0	0	0	0	0	0	0	0	308.54767	0	0	0	37.647877	0	0	0	38.291893	75.93977
736_Fatty acids_Phosphatidylethanolamines	Unassigned	N/A	736	445_220629_5mMatOOI_siriusfeaturelist_736	C37H70NO8P	[M + H]+	Lipids and lipid-like	0.989315987	Glycerophospholipids	0.999886394	Glycerophosphoethanolamines	0.943834007	Phosphatidylethanolamines	0.939622104	Phosphatidylethanolamines	0.939622104	Glycerophosphoethanolamines	0.97278893	Glycerophospholipids	0.999810278	Lipids and lipid-like molecules	0.99933213	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Amino acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Monoalkylamines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphoethanolamines; Phosphatidylethanolamines; Carbonyl compounds; Glycerophosphoethanolamines; Amines; Primary amines; Alkyl phosphates; Dialkyl phosphates; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	736	688.491531	15.918457	139.64203	58.63385	0	0	0	0	62.00705	0	0	0	260.28293	0	0	4738.3525	248.62596	44.83967	0	138.41077	0	0	39.671577	5209.900477	0	0	0	0	0	0	1240.0721	272.99408	0	0	1513.06618	2108.2744	44.36445	0	0	61.316704	0	1608.0403	63.069756	0	0	3885.06561	0	0	0	0	0	0	0	0	0
1126_Fatty acids_Fatty acid esters	Unassigned	N/A	1126	446_220629_5mMatOOI_siriusfeaturelist_1126	C30H64N2O7	[M + Na]+	Lipids and lipid-like	0.511386991	Macrolides	0.110828787	Ceramides	0.15463683	Fatty acid esters	0.868282795	Unassigned	Unassigned	Fatty acid esters	0.868282795	Fatty Acyls	0.786753178	Lipids and lipid-like molecules	0.789972246	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; 1,2-aminoalcohols; Polyols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	1126	587.4478733	16.980944	59.951374	0	62.115074	62.94562	0	54.100365	47.17272	0	0	0	286.285153	0	62.348473	75.527794	83.713875	138.60834	298.23486	124.804184	87.644226	0	0	870.881752	59.221573	0	0	118.687935	46.257423	113.88197	122.384964	116.72844	80.18463	37.69286	695.039795	0	74.66853	28.754332	0	67.34896	110.3905	54.28679	106.3298	59.613853	149.97878	651.371545	91.22407	0	33.30833	114.06868	110.739525	93.97036	83.88502	102.259026	629.455011
1964_Fatty acids_Long-chain ceramides	Unassigned	N/A	1964	457_220629_5mMatOOI_siriusfeaturelist_1964	C39H75NO3	[M + H]+	Lipids and lipid-like	0.997485042	Sphingolipids	0.969834328	Ceramides	0.979312897	Long-chain ceramides	0.518309474	Long-chain ceramides	0.518309474	Ceramides	0.958199561	Sphingolipids	0.926061928	Lipids and lipid-like molecules	0.867635608	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Ceramides; Secondary alcohols; Secondary carboxylic acid amides; Long-chain ceramides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	1964	606.5827033	19.77069	0	111.343864	205.68434	157.00194	93.460754	251.36038	308.95016	70.5192	1029.9254	892.54205	3120.788088	0	0	0	0	0	138.34161	168.04918	57.35537	0	40.797073	404.543233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.192867	41.940556	0	0	82.133423	0	0	0	36.211636	0	0	0	0	36.211636
989_Fatty acids_N-acyl amines	Unassigned	N/A	989	459_220629_5mMatOOI_siriusfeaturelist_989	C40H79NO2	[M + Na]+	Lipids and lipid-like	0.936457455	Sphingolipids	0.226235658	Steroidal alkaloids	0.165217012	N-acyl amines	0.994794071	N-acyl amines	0.994794071	Fatty amides	0.995876193	Fatty Acyls	0.990246654	Lipids and lipid-like molecules	0.997937202	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Cyclic alcohols and derivatives; Tertiary carboxylic acid amides; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	989	628.601341	16.72402	338.28683	301.4176	257.1875	352.27542	0	242.57726	0	0	0	0	1491.74461	422.14862	710.68164	414.57614	573.4527	431.10687	296.20984	419.8647	371.3775	0	0	3639.41801	564.0619	295.5303	466.42307	323.16183	610.2511	496.3898	649.50507	707.5551	718.79877	536.01373	5367.69067	369.6533	547.5451	584.33496	638.6146	400.8033	708.72754	547.01434	666.72235	818.5806	1304.4825	6586.47859	554.59393	646.55164	772.7407	784.97986	648.39685	866.29126	1070.2483	1216.8605	6560.66304
2148_Fatty acids_Diradylglycerols	Unassigned	N/A	2148	462_220629_5mMatOOI_siriusfeaturelist_2148	C43H88O5	[M + Na]+	Lipids and lipid-like	0.937928557	Glycerolipids	0.722035944	Diacylglycerols	0.739112139	Diradylglycerols	0.959862053	Unassigned	Unassigned	Diradylglycerols	0.959862053	Glycerolipids	0.362791866	Lipids and lipid-like molecules	0.999631405	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty alcohols; Diradylglycerols; Fatty Acyls; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	2148	707.6493207	20.34061	0	580.55	609.04584	514.2824	817.07916	800.8308	787.24066	120.55121	203.00839	498.04736	4930.63582	0	0	0	0	0	55.103794	59.42217	36.113087	0	0	150.639051	0	60.302826	0	0	0	0	0	0	425.54337	515.58716	1001.433356	0	0	0	0	0	0	392.9572	257.37625	0	0	650.33345	0	0	0	0	0	0	0	0	0
1980_Fatty acids_Long-chain ceramides	Unassigned	N/A	1980	463_220629_5mMatOOI_siriusfeaturelist_1980	C40H79NO5	[M + H]+	Lipids and lipid-like	0.999898791	Sphingolipids	0.999082327	Ceramides	0.999316573	Long-chain ceramides	0.529022157	Long-chain ceramides	0.529022157	Ceramides	0.999988437	Sphingolipids	0.998629689	Lipids and lipid-like molecules	0.99550736	Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Ceramides; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Long-chain ceramides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	1980	654.6014704	19.797007	0	0	0	0	0	43.13212	120.11345	324.70154	310.96356	234.69724	1033.60791	0	0	0	0	0	0	68.77206	97.59019	191.60344	350.4695	708.43519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1895_Fatty acids_Amino acids and derivatives	Unassigned	N/A	1895	464_220629_5mMatOOI_siriusfeaturelist_1895	C46H90N6O6	[M + H]+	Lipids and lipid-like	0.515383542	Sphingolipids	0.641526163	Ceramides	0.834825158	Amino acids and derivatives	0.533290386	Amino acids and derivatives	0.533290386	"Amino acids, peptides, and analogues"	0.634767711	Carboxylic acids and derivatives	0.972179353	Organic acids and derivatives	0.990394056	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	1895	823.6964768	19.565502	0	0	0	0	0	39.30606	0	0	0	0	39.30606	0	224.64893	45.359898	212.681	150.97194	388.0769	0	0	0	0	1021.738668	0	0	0	724.37085	701.5403	473.95193	87.39688	0	1038.8922	0	3026.15216	0	0	703.50885	151.30847	0	0	0	0	109.49793	0	964.31525	0	0	0	0	0	0	0	0	0
2082_Fatty acids_Ceramides	Unassigned	N/A	2082	466_220629_5mMatOOI_siriusfeaturelist_2082	C38H75NO3	[M + H]+	Lipids and lipid-like	0.999486923	Sphingolipids	0.992136478	Ceramides	0.996098995	Ceramides	0.999391317	Unassigned	Unassigned	Ceramides	0.999391317	Sphingolipids	0.992742062	Lipids and lipid-like molecules	0.93452996	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Ceramides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	2082	594.5814393	20.106894	0	158.31332	147.89008	158.72751	268.34705	0	227.45883	416.9175	699.7446	2019.4344	4096.83329	0	0	0	0	80.11298	406.69867	280.19214	264.175	723.67816	511.0132	2265.87015	0	0	212.13246	56.918392	203.80524	0	71.82512	0	361.70233	243.11728	1149.500822	0	0	0	0	0	89.43228	90.59031	0	143.63153	128.48134	452.13546	0	72.99266	117.37403	83.276566	67.83857	101.40081	95.2777	130.92088	669.081216
1238_Fatty acids_Sphingolipids	Unassigned	N/A	1238	470_220629_5mMatOOI_siriusfeaturelist_1238	C48H80N2O8	[M + Na]+	Lipids and lipid-like	0.592115641	Linear polyketides	0.374576598	Open-chain polyketides	0.412709594	Sphingolipids	0.585403681	Unassigned	Unassigned	Unassigned	Unassigned	Sphingolipids	0.585403681	Lipids and lipid-like molecules	0.852897644	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Acetals; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	1238	835.5824444	17.179808	113.90912	132.38878	173.40294	114.12846	103.885155	116.01571	22.680208	0	0	0	776.410373	293.466	95.44918	67.6246	59.322998	53.19497	76.70843	71.1273	67.19057	33.12114	0	817.205188	155.34259	127.75484	560.74005	263.26157	448.67468	534.197	93.41319	87.4458	85.76068	602.7047	2959.2951	146.28818	501.87946	84.61148	155.64713	395.18234	132.04868	92.630035	133.66145	199.34015	93.822	1935.110905	73.970505	397.40097	329.15494	118.21614	103.15888	112.46361	190.43939	112.06727	1436.871705
498_Fatty acids_Sphingolipids	Unassigned	N/A	498	471_220629_5mMatOOI_siriusfeaturelist_498	C35H63NO3	[M - H2O + H]+	Lipids and lipid-like	0.948281825	Sphingolipids	0.814333558	Ceramides	0.701474905	Sphingolipids	0.598198414	Unassigned	Unassigned	Unassigned	Unassigned	Sphingolipids	0.598198414	Lipids and lipid-like molecules	0.984860361	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	498	528.4773686	14.849921	0	0	0	0	106.6432	108.72252	125.96859	116.30291	207.38821	322.27094	987.29637	119.03355	85.07954	68.755585	147.32109	111.362236	191.0412	145.46613	184.21553	183.3718	182.33542	1417.982081	143.58908	0	0	127.63792	0	70.42288	116.840546	62.955338	41.603813	0	563.049577	56.336826	0	104.52045	0	0	118.286705	0	0	149.88657	146.93336	575.963911	0	76.765724	99.74214	121.245415	107.72056	111.35642	0	153.73543	670.565689
840_Fatty acids_Phosphosphingolipids	Unassigned	N/A	840	477_220629_5mMatOOI_siriusfeaturelist_840	C35H73N2O7P	[M + H]+	Lipids and lipid-like	0.983860016	Sphingolipids	0.76799947	Phosphosphingolipids	0.704615712	Phosphosphingolipids	0.639050126	Unassigned	Unassigned	Phosphosphingolipids	0.639050126	Sphingolipids	0.446204633	Lipids and lipid-like molecules	0.566222608	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Carbamic acids and derivatives; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Carbamate esters; Phosphoethanolamines; Carbonyl compounds; Amines; Phosphosphingolipids; Alkyl phosphates; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	840	665.520386	16.319647	196.73312	204.54988	107.20423	237.50705	99.940834	0	219.51947	0	221.27238	137.02042	1423.747384	111.91524	301.35535	203.93161	127.642746	125.652954	110.13606	103.950745	124.40693	204.47725	204.2348	1617.703685	101.93498	0	0	234.85191	0	161.73259	380.63647	147.78659	196.98875	0	1223.93129	62.72497	203.51941	0	242.8571	0	0	208.70865	369.23248	166.13753	191.0171	1444.19724	0	0	0	0	83.45749	0	0	49.476337	132.933827
1954_Fatty acids_Fatty acid esters	Unassigned	N/A	1954	479_220629_5mMatOOI_siriusfeaturelist_1954	C28H58O3	[M + H]+	Lipids and lipid-like	0.977196991	Glycerolipids	0.827748418	Wax monoesters	0.225395933	Fatty acid esters	0.946355522	Unassigned	Unassigned	Fatty acid esters	0.946355522	Fatty Acyls	0.985994995	Lipids and lipid-like molecules	0.993480086	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Dialkyl ethers; Carboxylic acid esters; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	1954	443.4459073	19.72871	0	38.22813	0	0	0	0	0	0	0	0	38.22813	0	0	453.42712	0	0	0	0	0	0	0	453.42712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.24974	0	0	0	0	0	98.24974	0	0	0	0	0	0	0	0	0
1225_Fatty acids_Fatty alcohols	Unassigned	N/A	1225	486_220629_5mMatOOI_siriusfeaturelist_1225	C34H70O5	[M + Na]+	Lipids and lipid-like	0.770881295	Glycerolipids	0.139843926	Diacylglycerols	0.194029734	Fatty alcohols	0.97047621	Unassigned	Unassigned	Fatty alcohols	0.97047621	Fatty Acyls	0.978079021	Lipids and lipid-like molecules	0.998409867	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Fatty alcohols; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Polyols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	1225	581.5113522	17.146713	50.55553	159.77266	177.02509	99.94968	111.89706	166.38391	0	0	0	0	765.58393	98.61877	122.39384	129.8096	155.35008	198.3415	328.56876	160.0411	258.2482	176.66418	0	1628.03603	139.31134	81.53551	79.37546	84.1451	102.3344	130.5701	124.47594	86.1751	110.47811	104.07944	1042.4805	29.346416	59.117817	167.46208	50.92074	58.235825	173.98093	40.850666	104.29312	208.67676	214.2493	1107.133654	171.5548	208.62901	213.31558	171.77559	206.19603	153.93242	154.31209	153.86137	1433.57689
